document_id,document_title,document_type,issuing_body,publication_date,url,relevance_to_project,notes
DOC001,The Bureaucratic Challenge to AI Governance: An Empirical Assessment of Implementation at U.S. Federal Agencies,conference paper,ACM AIES,2023-08-08,https://dl.acm.org/doi/10.1145/3600211.3604701,Original replication source,Canonical DOI landing page for the paper.
DOC002,The Bureaucratic Challenge to AI Governance: An Empirical Assessment of Implementation at U.S. Federal Agencies (open PDF),conference paper PDF,Stanford,2023-08-08,https://dho.stanford.edu/wp-content/uploads/AIES-Bureaucratic-Challenge.pdf,Original replication source,Open PDF used for requirement and tracker extraction.
DOC003,Maintaining American Leadership in Artificial Intelligence,executive order,Federal Register,2019-02-14,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,Original replication source,Original policy pillar assessed in the paper.
DOC004,Guidance for Regulation of Artificial Intelligence Applications (M-21-06),OMB memorandum,Office of Management and Budget,2020-11-17,https://www.whitehouse.gov/wp-content/uploads/2020/11/M-21-06.pdf,Original replication source,Key implementation artifact for EO 13859 used in the paper's analysis.
DOC005,Promoting the Use of Trustworthy Artificial Intelligence in the Federal Government,executive order,Federal Register,2020-12-08,https://www.federalregister.gov/documents/2020/12/08/2020-27065/promoting-the-use-of-trustworthy-artificial-intelligence-in-the-federal-government,Original replication source,Original policy pillar assessed in the paper.
DOC006,AI in Government Act of 2020,statute,GovInfo / Public Law 116-260,2020-12-27,https://www.govinfo.gov/app/details/COMPS-16716,Original replication source,Original statutory pillar assessed in the paper.
DOC007,Safe Secure and Trustworthy Development and Use of Artificial Intelligence,executive order,GovInfo,2023-11-01,https://www.govinfo.gov/content/pkg/FR-2023-11-01/pdf/2023-24283.pdf,Update context only,Executive Order 14110 expanded federal AI governance expectations after the paper's original replication window.
DOC008,Advancing Governance Innovation and Risk Management for Agency Use of Artificial Intelligence (M-24-10),OMB memorandum,Office of Management and Budget,2024-03-28,https://www.whitehouse.gov/wp-content/uploads/2024/03/M-24-10-Advancing-Governance-Innovation-and-Risk-Management-for-Agency-Use-of-Artificial-Intelligence.pdf,Update context only,Added new agency-use governance requirements after the original replication period.
DOC009,Initial Rescissions of Harmful Executive Orders and Actions,executive order,GovInfo,2025-01-20,https://www.govinfo.gov/content/pkg/FR-2025-01-28/pdf/2025-01901.pdf,Update context only,Includes the revocation of Executive Order 14110 after the original replication period.
DOC010,Removing Barriers to American Leadership in Artificial Intelligence,executive order,GovInfo,2025-01-23,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02172.pdf,Update context only,Executive Order 14179 reshaped the policy environment after the original replication period.
