requirement_id,source_policy,requirement_text,responsible_entity,deadline,original_status,original_evidence_notes
EO13859_2a_e,EO 13859,"Implementing agencies shall pursue six strategic objectives to promote and protect American advances in AI, including sustained AI R&D, access to Federal data and computing resources, reduced barriers to AI use, technical standards, and AI workforce development.",Implementing agencies,No fixed deadline,Unknown,"The paper classifies this as an ongoing requirement without mandated outcomes to assess, so implementation was not publicly verifiable."
EO13859_4a,EO 13859,Heads of AI R&D agencies shall consider AI as an agency R&D priority and take that priority into account when developing budget proposals and planning for the use of funds.,Heads of AI R&D agencies,No fixed deadline,Implemented,The paper cites the National Artificial Intelligence Research and Development Strategic Plan: 2019 Update and subsequent progress reports as indications of sustained implementation.
EO13859_4b_i,EO 13859,Heads of AI R&D agencies shall budget an amount of AI R&D appropriate for this prioritization and communicate plans for achieving it each fiscal year through the NITRD Program.,Heads of AI R&D agencies,No fixed deadline,Implemented,The paper treats this as an ongoing requirement with indications of sustained implementation through NITRD budget and planning materials.
EO13859_4b_ii,EO 13859,Heads of AI R&D agencies shall identify each year the programs to which the AI R&D priority will apply and estimate the total amount of funds to be spent on each program.,Heads of AI R&D agencies,Annually within 90 days of enactment of appropriations for an agency,Implemented,The paper points to NITRD supplements and the AI R&D dashboard as evidence that these annual reporting expectations were being carried out.
EO13859_4c,EO 13859,"Heads of AI R&D agencies shall explore opportunities for collaboration with non-Federal entities, including the private sector, academia, nonprofits, subnational governments, and foreign partners and allies.",Heads of AI R&D agencies,No fixed deadline,Unknown,The paper classifies this as an ongoing requirement without mandated outcomes to assess.
EO13859_5a,EO 13859,"Heads of all agencies shall review Federal data and models to identify opportunities to increase access and use by the non-Federal AI research community, including improvements to inventory documentation and the prioritization of quality and access improvements.",Head of all agencies,No fixed deadline,Unknown,"The paper treats this as open-ended and not publicly verifiable, while noting partial supporting infrastructure such as the AI Researchers Portal."
EO13859_5a_i_rfi,EO 13859,The OMB Director shall publish a Federal Register notice inviting the public to identify requests for access or quality improvements for Federal data and models that would improve AI R&D and testing.,OMB Director,Within 90 days of EO,Implemented,"The paper cites the July 10, 2019 Federal Register request for information on priority access or quality improvements for Federal data and models for AI research and testing."
EO13859_5a_i_barriers,EO 13859,"The OMB Director, with the NSTC Select Committee on AI, shall investigate barriers to access or quality limitations of Federal data and models that impede AI R&D and testing.",OMB Director with NSTC Select Committee on AI,Within 90 days of EO,Implemented,The paper treats the Federal Data Strategy 2020 Action Plan and its tracking of the RFI milestone as evidence that this directive was implemented.
EO13859_5a_ii,EO 13859,"OMB, with interagency councils and the NSTC Select Committee on AI, shall update implementation guidance for Enterprise Data Inventories and Source Code Inventories to support discovery and usability in AI R&D.",OMB with interagency councils and NSTC Select Committee on AI,Within 120 days of EO,Unknown,The paper found references to a non-final guidance document but no clear public confirmation that final updated guidance had been issued.
EO13859_5a_iii,EO 13859,"Agencies shall consider methods to improve the quality, usability, and appropriate access to priority data by the AI research community and identify associated resource implications.",Agencies,Within 180 days of EO,Unknown,The paper notes references in agency open data planning materials but found no mandated public reporting that would verify implementation.
EO13859_5a_iv,EO 13859,"Agencies, coordinating with privacy officials, statistical entities, data managers, and other relevant personnel, shall identify barriers or requirements associated with increased access to and use of data and models, including privacy, safety, security, documentation, governance, and related considerations.","Agencies in coordination with privacy officials, statistical entities, data managers, and relevant personnel",No fixed deadline,Unknown,The paper treats this as open-ended and not publicly verifiable.
EO13859_5a_v,EO 13859,"Agencies shall identify opportunities to use new technologies and best practices to increase access to and usability of open data and models, while exploring appropriate controls on access to sensitive or restricted data and models.",Agencies,No fixed deadline,Unknown,The paper classifies this as an ongoing requirement without mandated public reporting or a concrete outcome to assess.
