requirement_id,source_policy,requirement_text,responsible_entity,deadline,appendix_status,aggregate_status,aggregate_count_included,updated_2026_status,status_change,evidence_url,evidence_title,evidence_date,evidence_source_type,verification_confidence,update_notes,superseded_or_replaced,replacement_policy_source
EO13859_2a_e,EO 13859,"Implementing agencies shall pursue six strategic objectives to promote and protect American advances in AI, including sustained AI R&D, access to Federal data and computing resources, reduced barriers to AI use, technical standards, and AI workforce development.",Implementing agencies,No fixed deadline,Unknown,Unknown,Yes,Partially implemented,Clarified in 2026,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-24,White House AI portal,Low,"The strategic objectives remain visibly active across the federal AI policy ecosystem, including R&D, education, procurement, and infrastructure initiatives. But this broad, multi-objective requirement still does not have a single public government-wide outcome record that would justify coding it as fully implemented.",No,
EO13859_4a,EO 13859,Heads of AI R&D agencies shall consider AI as an agency R&D priority and take that priority into account when developing budget proposals and planning for the use of funds.,Heads of AI R&D agencies,No fixed deadline,Implemented,Implemented,Yes,Implemented,No material change,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD Program,2026-07-24,NITRD program page,Medium,"NITRD continues to publish the Federal AI R&D investments dashboard and ongoing coordination materials. That is strong public evidence that AI R&D prioritization and related budget visibility remained in place through July 24, 2026.",No,
EO13859_4b_i,EO 13859,Heads of AI R&D agencies shall budget an amount of AI R&D appropriate for this prioritization and communicate plans for achieving it each fiscal year through the NITRD Program.,Heads of AI R&D agencies,No fixed deadline,Implemented,Implemented,Yes,Implemented,No material change,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD Program,2026-07-24,NITRD program page,Medium,"NITRD continues to publish the Federal AI R&D investments dashboard and ongoing coordination materials. That is strong public evidence that AI R&D prioritization and related budget visibility remained in place through July 24, 2026.",No,
EO13859_4b_ii,EO 13859,Heads of AI R&D agencies shall identify each year the programs to which the AI R&D priority will apply and estimate the total amount of funds to be spent on each program.,Heads of AI R&D agencies,Annually within 90 days of enactment of appropriations for an agency,Implemented,Implemented,Yes,Implemented,No material change,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD Program,2026-07-24,NITRD program page,Medium,"NITRD continues to publish the Federal AI R&D investments dashboard and ongoing coordination materials. That is strong public evidence that AI R&D prioritization and related budget visibility remained in place through July 24, 2026.",No,
EO13859_4c,EO 13859,"Heads of AI R&D agencies shall explore opportunities for collaboration with non-Federal entities, including the private sector, academia, nonprofits, subnational governments, and foreign partners and allies.",Heads of AI R&D agencies,No fixed deadline,Unknown,Unknown,Yes,Unable to verify,No material change,https://resources.data.gov,resources.data.gov,2026-07-24,Federal data guidance portal,Low,"Public evidence shows some relevant infrastructure and guidance, but this pass did not find sufficient government-wide documentation to verify completion conservatively.",No,
EO13859_5a,EO 13859,"Heads of all agencies shall review Federal data and models to identify opportunities to increase access and use by the non-Federal AI research community, including improvements to inventory documentation and the prioritization of quality and access improvements.",Head of all agencies,No fixed deadline,Unknown,Unknown,Yes,Unable to verify,No material change,https://resources.data.gov,resources.data.gov,2026-07-24,Federal data guidance portal,Low,"Public evidence shows some relevant infrastructure and guidance, but this pass did not find sufficient government-wide documentation to verify completion conservatively.",No,
EO13859_5a_i_rfi,EO 13859,The OMB Director shall publish a Federal Register notice inviting the public to identify requests for access or quality improvements for Federal data and models that would improve AI R&D and testing.,OMB Director,Within 90 days of EO,Implemented,Implemented,Yes,Implemented,No material change,https://www.federalregister.gov/documents/2019/07/10/2019-14618/identifying-priority-access-or-quality-improvements-for-federal-data-and-models-for-artificial,Identifying Priority Access or Quality Improvements for Federal Data and Models for Artificial Intelligence Research and Development and Testing,2019-07-10,Federal Register notice,High,This time-boxed requirement was completed when OMB published the Federal Register request for information in July 2019.,No,
EO13859_5a_i_barriers,EO 13859,"The OMB Director, with the NSTC Select Committee on AI, shall investigate barriers to access or quality limitations of Federal data and models that impede AI R&D and testing.",OMB Director with NSTC Select Committee on AI,Within 90 days of EO,Implemented,Implemented,Yes,Implemented,No material change,https://www.federalregister.gov/documents/2019/07/10/2019-14618/identifying-priority-access-or-quality-improvements-for-federal-data-and-models-for-artificial,Identifying Priority Access or Quality Improvements for Federal Data and Models for Artificial Intelligence Research and Development and Testing,2019-07-10,Federal Register notice,Medium,The public RFI and its framing around access and quality barriers remain direct public evidence that the investigation requirement was carried out.,No,
EO13859_5a_ii,EO 13859,"OMB, with interagency councils and the NSTC Select Committee on AI, shall update implementation guidance for Enterprise Data Inventories and Source Code Inventories to support discovery and usability in AI R&D.",OMB with interagency councils and NSTC Select Committee on AI,Within 120 days of EO,Unknown,Unknown,Yes,Unable to verify,No material change,https://resources.data.gov,resources.data.gov,2026-07-24,Federal data guidance portal,Low,"Public evidence shows some relevant infrastructure and guidance, but this pass did not find sufficient government-wide documentation to verify completion conservatively.",No,
EO13859_5a_iii,EO 13859,"Agencies shall consider methods to improve the quality, usability, and appropriate access to priority data by the AI research community and identify associated resource implications.",Agencies,Within 180 days of EO,Unknown,Unknown,Yes,Unable to verify,No material change,https://resources.data.gov,resources.data.gov,2026-07-24,Federal data guidance portal,Low,"Public evidence shows some relevant infrastructure and guidance, but this pass did not find sufficient government-wide documentation to verify completion conservatively.",No,
