requirement_id,url,source_title,date_checked,result,notes
AIGA_103_create_coe,https://www.gsa.gov/artificial-intelligence,Artificial intelligence | GSA,2026-07-28,Supports,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
AIGA_103_create_coe,https://www.gsa.gov/artificial-intelligence/resources,Resources - GSA,2026-07-28,Context only,The GSA AI resources hub provides contextual support for the continued operation of the AI Center of Excellence function.
AIGA_103_duties,https://www.gsa.gov/artificial-intelligence,Artificial intelligence | GSA,2026-07-28,Partial support,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
AIGA_103_duties,https://www.gsa.gov/artificial-intelligence/2025-gsa-ai-use-cases,2025 GSA AI use cases,2026-07-28,Partial support,Public use-case publication is one direct piece of the statutory AI Center of Excellence duties bundle.
AIGA_103_duties,https://www.gsa.gov/artificial-intelligence/ai-community-of-practice,AI Community of Practice | GSA,2026-07-28,Partial support,The cross-agency community of practice supports the partial-duty judgment for the AI Center of Excellence.
AIGA_104_abd,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2026-07-28,Supports,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
AIGA_104_abd,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-22-Driving-Efficient-Acquisition-of-Artificial-Intelligence-in-Government.pdf,OMB Memorandum M-25-22: Driving Efficient Acquisition of Artificial Intelligence in Government,2026-07-28,Supports,The acquisition memo is a major co-equal guidance artifact already referenced in the original 2026 coding rationale.
AIGA_104c,https://www.epa.gov/data/ai-compliance-plan,AI Compliance Plan | US EPA,2026-07-28,Partial support,A third public agency compliance artifact supports the partial implementation judgment for public plans.
AIGA_104c,https://www.gsa.gov/artificial-intelligence/resources/ai-strategies-and-compliance-plan,AI strategies and compliance plan | GSA,2026-07-28,Partial support,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
AIGA_104c,https://www.justice.gov/media/1373026/dl,Compliance Plan for OMB Memorandum M-24-10,2026-07-28,Partial support,A second public agency compliance artifact supports the partial implementation judgment for public plans.
AIGA_105a,https://www.opm.gov/chcoc/transmittals/2024/The%20Artificial%20Intelligence%20Classification%20Policy%20and%20Talent%20Acquisition%20Guidance%20-%20The%20AI%20in%20Government%20Act%20of%202020.pdf,The Artificial Intelligence Classification Policy and Talent Acquisition Guidance - The AI in Government Act of 2020,2026-07-28,Supports,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
AIGA_105a,https://www.opm.gov/policy-data-oversight/oversight-and-effectiveness/human-capital-reviews/fy-2024-human-capital-reviews/artificial-intelligence/,Artificial Intelligence - FY 2024 Human Capital Reviews - OPM,2026-07-28,Context only,OPM oversight materials reinforce the continuing workforce-implementation context around the AI in Government Act skills guidance.
AIGA_105b,https://www.opm.gov/chcoc/latest-memos/building-the-ai-workforce-of-the-future.pdf,Building the AI Workforce of the Future - OPM,2026-07-28,Context only,Current workforce planning materials show active implementation work but do not directly expose the specific comprehensive plan to Congress required by section 105(b).
