requirement_id,source_policy,requirement_text,responsible_entity,deadline,replication_status,replication_evidence_url,replication_evidence_date,replication_notes,paper_appendix_status,agreement_with_paper,discrepancy_reason
EO13859_2a_e,EO 13859,"Implementing agencies shall pursue six strategic objectives to promote and protect American advances in AI, including sustained AI R&D, access to Federal data and computing resources, reduced barriers to AI use, technical standards, and AI workforce development.",Implementing agencies,No fixed deadline,Unknown / Unable to verify,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,2019-02-14,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13859_4a,EO 13859,Heads of AI R&D agencies shall consider AI as an agency R&D priority and take that priority into account when developing budget proposals and planning for the use of funds.,Heads of AI R&D agencies,No fixed deadline,Implemented,https://www.nitrd.gov/pubs/National-AI-RD-Strategy-2019.pdf,2019-06-21,Public planning and investment documents available before the study cutoff show that AI R&D had been elevated as a budget and planning priority and was being tracked through the NITRD process.,Implemented,Agree,
EO13859_4b_i,EO 13859,Heads of AI R&D agencies shall budget an amount of AI R&D appropriate for this prioritization and communicate plans for achieving it each fiscal year through the NITRD Program.,Heads of AI R&D agencies,No fixed deadline,Implemented,https://www.nitrd.gov/pubs/National-AI-RD-Strategy-2019.pdf,2019-06-21,Public planning and investment documents available before the study cutoff show that AI R&D had been elevated as a budget and planning priority and was being tracked through the NITRD process.,Implemented,Agree,
EO13859_4b_ii,EO 13859,Heads of AI R&D agencies shall identify each year the programs to which the AI R&D priority will apply and estimate the total amount of funds to be spent on each program.,Heads of AI R&D agencies,Annually within 90 days of enactment of appropriations for an agency,Implemented,https://www.nitrd.gov/pubs/National-AI-RD-Strategy-2019.pdf,2019-06-21,Public planning and investment documents available before the study cutoff show that AI R&D had been elevated as a budget and planning priority and was being tracked through the NITRD process.,Implemented,Agree,
EO13859_4c,EO 13859,"Heads of AI R&D agencies shall explore opportunities for collaboration with non-Federal entities, including the private sector, academia, nonprofits, subnational governments, and foreign partners and allies.",Heads of AI R&D agencies,No fixed deadline,Unknown / Unable to verify,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,2019-02-14,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13859_5a,EO 13859,"Heads of all agencies shall review Federal data and models to identify opportunities to increase access and use by the non-Federal AI research community, including improvements to inventory documentation and the prioritization of quality and access improvements.",Head of all agencies,No fixed deadline,Unknown / Unable to verify,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,2019-02-14,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13859_5a_i_rfi,EO 13859,The OMB Director shall publish a Federal Register notice inviting the public to identify requests for access or quality improvements for Federal data and models that would improve AI R&D and testing.,OMB Director,Within 90 days of EO,Implemented,https://www.federalregister.gov/documents/2019/07/10/2019-14618/identifying-priority-access-or-quality-improvements-for-federal-data-and-models-for-artificial,2019-07-10,The required Federal Register request for information was publicly issued within the required time window.,Implemented,Agree,
EO13859_5a_i_barriers,EO 13859,"The OMB Director, with the NSTC Select Committee on AI, shall investigate barriers to access or quality limitations of Federal data and models that impede AI R&D and testing.",OMB Director with NSTC Select Committee on AI,Within 90 days of EO,Implemented,https://strategy.data.gov/assets/docs/2020-federal-data-strategy-action-plan.pdf,2019-12-23,"The Federal Data Strategy action-plan materials publicly tracked the AI data and model access workstream, which supports a conservative implementation call for the barrier-investigation step.",Implemented,Agree,
EO13859_5a_ii,EO 13859,"OMB, with interagency councils and the NSTC Select Committee on AI, shall update implementation guidance for Enterprise Data Inventories and Source Code Inventories to support discovery and usability in AI R&D.",OMB with interagency councils and NSTC Select Committee on AI,Within 120 days of EO,Unknown / Unable to verify,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,2019-02-14,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13859_5a_iii,EO 13859,"Agencies shall consider methods to improve the quality, usability, and appropriate access to priority data by the AI research community and identify associated resource implications.",Agencies,Within 180 days of EO,Unknown / Unable to verify,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,2019-02-14,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
