requirement_id,source_policy,requirement_text,updated_2026_status,evidence_url,evidence_title,evidence_date,verification_confidence,audit_decision,audit_reason,recommended_status,requires_manual_review
AIGA_103_duties,AI in Government Act,"The duties of the AI Center of Excellence shall include convening relevant stakeholders, publishing information on AI programs and initiatives, advising GSA, OMB, agencies, and OSTP, assisting agencies in applying Federal policies, and consulting with agencies that operate or support AI-related programs.",Partially implemented,https://www.gsa.gov/artificial-intelligence,Artificial intelligence | GSA,2026-07-10,Medium,Keep status,"The GSA AI hub provides direct evidence of several ongoing AI Center of Excellence functions, but not enough to verify every statutory duty in full.",Partially implemented,No
AIGA_104_abd,AI in Government Act,"OMB, coordinating with OSTP, GSA, and other relevant agencies and stakeholders, shall issue draft and final memorandum guidance on Federal acquisition and use of AI, barriers to agency AI use, discriminatory impact and bias mitigation, and the template for agency compliance plans, and shall update that memorandum every two years for ten years.",Implemented,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025-04-03,High,Keep status,The public OMB memoranda are direct evidence that the high-level guidance deliverables were eventually issued.,Implemented,No
AIGA_104c,AI in Government Act,Heads of agencies shall submit to OMB and post publicly either a plan to achieve consistency with the OMB memorandum or a written determination that the agency does not use and does not anticipate using AI.,Partially implemented,https://www.gsa.gov/artificial-intelligence/resources/ai-strategies-and-compliance-plan,AI strategies and compliance plan | GSA,2025-09-30,Medium,Keep status,Public agency compliance-plan pages support a cautious Partially implemented coding because the audit did not verify every agency's posting or determination.,Partially implemented,No
AIGA_105a,AI in Government Act,"The OPM Director shall identify AI-related skills and competencies, establish or update an AI occupational series, estimate the number of Federal employees in AI-related positions by agency, and prepare two-year and five-year workforce forecasts.",Implemented,https://www.opm.gov/chcoc/transmittals/2024/The%20Artificial%20Intelligence%20Classification%20Policy%20and%20Talent%20Acquisition%20Guidance%20-%20The%20AI%20in%20Government%20Act%20of%202020.pdf,The Artificial Intelligence Classification Policy and Talent Acquisition Guidance - The AI in Government Act of 2020,2024-04-29,Medium,Keep status,OPM's published guidance is direct public evidence for the workforce-skills and classification work described in this row.,Implemented,No
AIGA_105b,AI in Government Act,The OPM Director shall submit to the relevant congressional committees a comprehensive plan with a timeline to complete the requirements described in section 105(a).,Unable to verify,https://www.opm.gov/chcoc/transmittals/2024/The%20Artificial%20Intelligence%20Classification%20Policy%20and%20Talent%20Acquisition%20Guidance%20-%20The%20AI%20in%20Government%20Act%20of%202020.pdf,The Artificial Intelligence Classification Policy and Talent Acquisition Guidance - The AI in Government Act of 2020,2024-04-29,Low,Keep status,"The audit still did not locate a public copy of the specific plan to Congress required by section 105(b), so keeping Unable to verify is the conservative choice.",Unable to verify,No
EO13859_2a_e,EO 13859,"Implementing agencies shall pursue six strategic objectives to promote and protect American advances in AI, including sustained AI R&D, access to Federal data and computing resources, reduced barriers to AI use, technical standards, and AI workforce development.",Partially implemented,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-24,Low,Downgrade to Unable to verify,"The cited AI.Gov page is broad, strategic context rather than direct public evidence that agencies pursued the full set of objectives in this requirement.",Unable to verify,No
EO13859_4c,EO 13859,"Heads of AI R&D agencies shall explore opportunities for collaboration with non-Federal entities, including the private sector, academia, nonprofits, subnational governments, and foreign partners and allies.",Unable to verify,https://resources.data.gov,resources.data.gov,2026-07-24,Low,Keep status,The row is already coded conservatively because the public evidence is broad and not requirement-specific.,Unable to verify,No
EO13859_5a,EO 13859,"Heads of all agencies shall review Federal data and models to identify opportunities to increase access and use by the non-Federal AI research community, including improvements to inventory documentation and the prioritization of quality and access improvements.",Unable to verify,https://resources.data.gov,resources.data.gov,2026-07-24,Low,Keep status,The requirement is already held at Unable to verify because the available public evidence does not prove agency-by-agency review activity.,Unable to verify,No
EO13859_5a_ii,EO 13859,"OMB, with interagency councils and the NSTC Select Committee on AI, shall update implementation guidance for Enterprise Data Inventories and Source Code Inventories to support discovery and usability in AI R&D.",Unable to verify,https://resources.data.gov,resources.data.gov,2026-07-24,Low,Keep status,"The public guidance portal does not directly establish that the required inventory-guidance update was completed, so keeping Unable to verify is the safer choice.",Unable to verify,No
EO13859_5a_iii,EO 13859,"Agencies shall consider methods to improve the quality, usability, and appropriate access to priority data by the AI research community and identify associated resource implications.",Unable to verify,https://resources.data.gov,resources.data.gov,2026-07-24,Low,Keep status,The evidence remains too general to verify agency consideration of data quality and access improvements across government.,Unable to verify,No
EO13859_5a_iv,EO 13859,"Agencies, coordinating with privacy officials, statistical entities, data managers, and other relevant personnel, shall identify barriers or requirements associated with increased access to and use of data and models, including privacy, safety, security, documentation, governance, and related considerations.",Unable to verify,https://resources.data.gov,resources.data.gov,2026-07-24,Low,Keep status,The available public materials do not document completion of the specific barrier-identification exercise described in the requirement.,Unable to verify,No
EO13859_5a_v,EO 13859,"Agencies shall identify opportunities to use new technologies and best practices to increase access to and usability of open data and models, while exploring appropriate controls on access to sensitive or restricted data and models.",Unable to verify,https://resources.data.gov,resources.data.gov,2026-07-24,Low,Keep status,The public record supports related open-data work but not the specific agency identification of new technologies and controls required here.,Unable to verify,No
EO13859_5b,EO 13859,"The Secretaries of Defense, Commerce, Health and Human Services, and Energy, the NASA Administrator, and the NSF Director shall prioritize the allocation of high-performance computing resources for AI-related applications through discretionary reserves or other mechanisms.",Partially implemented,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD Program,2026-07-24,Medium,Downgrade to Unable to verify,"The cited NITRD evidence shows federal coordination, but it does not directly verify that the named agencies prioritized high-performance computing allocations for AI applications.",Unable to verify,No
EO13859_5d,EO 13859,"The NSTC Select Committee on AI shall provide technical expertise to the American Technology Council on AI and the modernization of Federal technology, data, and digital service delivery.",Unable to verify,https://resources.data.gov,resources.data.gov,2026-07-24,Low,Keep status,The public evidence is still too general to verify that agencies created or maintained the specific access pathways implied by this provision.,Unable to verify,No
EO13859_6c,EO 13859,Implementing agencies that also have regulatory authorities shall review their authorities and submit plans to OMB to achieve consistency with the OMB memorandum issued under section 6(a).,Superseded or replaced,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025-04-03,Medium,Downgrade to Unable to verify,Later AI-use memoranda do not clearly replace the original M-21-06-specific plan submission obligation for agencies with regulatory authorities.,Unable to verify,No
EO13859_7a_i_ii,EO 13859,Implementing agencies that provide educational grants shall consider AI as a priority area within existing Federal fellowship and service programs and shall annually communicate plans for doing so to the NSTC Select Committee on AI.,Partially implemented,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-24,Low,Downgrade to Unable to verify,"Public AI education activity exists, but the evidence does not directly verify the required annual agency communications to the NSTC Select Committee.",Unable to verify,No
EO13859_7b,EO 13859,The NSTC Select Committee on AI shall provide recommendations to the NSTC Committee on STEM Education regarding AI-related educational and workforce development considerations that focus on American citizens.,Unable to verify,https://resources.data.gov,resources.data.gov,2026-07-24,Low,Keep status,The evidence remains too general to verify agency identification of AI-related workforce needs under this specific requirement.,Unable to verify,No
EO13859_7c,EO 13859,The NSTC Select Committee on AI shall provide technical expertise to the National Council for the American Worker on AI and the American workforce.,Unable to verify,https://resources.data.gov,resources.data.gov,2026-07-24,Low,Keep status,"No direct public evidence was found for the specific policy development obligation in this row, so keeping Unable to verify is appropriate.",Unable to verify,No
EO13859_8a_b,EO 13859,"The Assistant to the President for National Security Affairs, coordinating with OSTP and relevant agencies, shall organize and submit to the President an action plan to protect the United States advantage in AI and related critical technologies against strategic competitors and adversarial nations.",Superseded or replaced,https://www.whitehouse.gov/fact-sheets/2026/06/fact-sheet-president-donald-j-trump-signs-historic-directive-on-ai-in-the-national-security-enterprise/,Fact Sheet: President Donald J. Trump Signs Historic Directive on AI in the National Security Enterprise,2026-06-05,Medium,Downgrade to Unable to verify,"A White House fact sheet shows a newer national-security AI directive, but it does not directly establish that this earlier action-plan requirement was formally replaced or completed.",Unable to verify,No
EO13859_8c,EO 13859,Agencies that are recipients of the action plan described in section 8(a)-(b) shall implement that action plan.,Superseded or replaced,https://www.whitehouse.gov/fact-sheets/2026/06/fact-sheet-president-donald-j-trump-signs-historic-directive-on-ai-in-the-national-security-enterprise/,Fact Sheet: President Donald J. Trump Signs Historic Directive on AI in the National Security Enterprise,2026-06-05,Medium,Downgrade to Unable to verify,The public record does not clearly show whether agencies implemented the original action plan or whether that obligation was formally replaced by the newer directive.,Unable to verify,No
EO13960_2b,EO 13960,"Responsible agencies shall, when considering the design, development, acquisition, and use of AI in Government, be guided by the order's principles in order to foster public trust and remain consistent with law.",Partially implemented,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025-04-03,Medium,Keep status,"M-25-21 directly reaffirms governance and public-trust expectations tied to EO 13960, which is enough for a cautious Partially implemented judgment but not a full upgrade.",Partially implemented,No
EO13960_4a,EO 13960,"To the extent existing OMB policies that address information and information technology design, development, acquisition, and use are consistent with the order's principles and applicable law, those policies shall continue to apply.",Partially implemented,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025-04-03,Medium,Keep status,"The current OMB governance memorandum is direct evidence that relevant AI policies continue to operate, but not enough to prove full requirement-level completion across government.",Partially implemented,No
EO13960_4b,EO 13960,"OMB shall publicly post a roadmap for policy guidance that it intends to create or revise to better support the use of AI in Government, including a schedule for public engagement and finalization where appropriate.",Superseded or replaced,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025-04-03,Medium,Downgrade to Unable to verify,"Later OMB AI memoranda exist, but the audit did not locate direct public evidence that the specific roadmap deliverable was posted or formally superseded.",Unable to verify,No
EO13960_4c,EO 13960,"Agencies shall continue to use voluntary consensus standards developed with industry participation where available and appropriate, and OMB shall take such standards into account when revising or developing AI guidance.",Unable to verify,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025-04-03,Low,Keep status,The row is already conservatively coded because the cited evidence does not directly verify use of voluntary consensus standards in the specific sense required here.,Unable to verify,No
EO13960_5a,EO 13960,"The CIO Council, coordinating with relevant interagency bodies, shall identify, provide guidance on, and make publicly available the criteria, format, and mechanisms for agency inventories of non-classified and non-sensitive AI use cases.",Partially implemented,https://www.epa.gov/data/ai-use-case-inventory,AI Use Case Inventory | US EPA,2026-05-04,Medium,Downgrade to Unable to verify,"Agency inventory pages suggest common practice, but the audit did not find direct public evidence of the CIO Council guidance artifact required by the row.",Unable to verify,No
EO13960_5b,EO 13960,"Responsible agencies shall prepare an inventory of non-classified and non-sensitive AI use cases, including current and planned uses, and update that inventory annually.",Partially implemented,https://www.justice.gov/ai/ai-inventory,Department of Justice | AI Inventory,2026-07-24,Medium,Keep status,"Multiple agency public inventory pages support a cautious Partially implemented judgment, even though the audit did not verify every covered agency individually.",Partially implemented,No
EO13960_5c,EO 13960,"As part of their inventories, agencies shall identify, review, and assess existing AI deployed and operating in support of agency missions for any inconsistencies with the order.",Partially implemented,https://www.justice.gov/ai/ai-inventory,Department of Justice | AI Inventory,2026-07-24,Medium,Keep status,"Public inventory methodology is indirect, but it still supports a limited conclusion that some review-and-assessment activity is occurring.",Partially implemented,No
EO13960_5c_i,EO 13960,"Agencies shall develop plans either to achieve consistency with the order for each AI application or to retire applications found not to be consistent with the order, and those plans must be approved by the responsible officials.",Unable to verify,https://www.justice.gov/media/1373026/dl,Department of Justice Compliance Plan for OMB Memorandum M-24-10,2024-10-01,Low,Keep status,"The available public evidence does not directly verify completion of agency planning obligations tied to this row, so keeping Unable to verify is appropriate.",Unable to verify,No
EO13960_5c_ii,EO 13960,"Agencies shall strive to implement the approved plans for AI applications, subject to existing resource levels and in coordination with the Agency Data Governance Body and relevant officials.",Unable to verify,https://www.justice.gov/media/1373026/dl,Department of Justice Compliance Plan for OMB Memorandum M-24-10,2024-10-01,Low,Keep status,"This row was originally excluded from the paper's aggregate count, and the current public evidence still does not verify completion of the implementation step itself.",Unable to verify,No
EO13960_5d,EO 13960,"Agencies shall share their AI inventories with other agencies, to the extent practicable and consistent with applicable law and policy, through coordination by the CIO and Chief Data Officer Councils.",Unable to verify,https://www.justice.gov/media/1373026/dl,Department of Justice Compliance Plan for OMB Memorandum M-24-10,2024-10-01,Low,Keep status,"The public record does not clearly verify the cross-agency sharing obligation, so the conservative Unable to verify coding should stand.",Unable to verify,No
